1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,class
1.977852112,-0.346314016,-0.570130823,0.195684514,-0.537240963,0.126796869,-0.274764544,-1.103073174,-1.27826025,1.511289545,-1.550911225,-1.728778635,-1.006077775,-2.01790647,0.74385047,-0.204996194,-0.062212822,-0.578101561,-1.330745845,-0.080510727,0.859483377,-0.270657067,0.691702273,-1.398069833,1.174889452,0
1.6132683,0.222367513,2.413506189,-0.297182442,-0.636700639,1.581053505,-0.016959475,1.798777732,1.045940052,0.576653704,-0.17565027,0.643271876,1.031389217,-1.164867918,0.628097481,1.584335309,0.124139255,-0.095509513,-0.703692222,2.073224221,0.806465345,1.295815677,1.041119332,0.305158429,-0.494254463,0
2.488947267,-0.155081956,-0.977093373,0.582125387,-1.043785729,-0.980330046,1.193902556,-0.953011808,0.00270961,0.289364024,-1.841754063,-0.547502867,-0.807602082,-0.986009392,1.61203804,-0.438385213,1.129174007,-0.734397901,-1.701867165,0.146096364,1.633311494,0.210991021,0.588573673,0.043234068,0.998827236,0
1.60690546,-1.352301925,-1.41331105,0.527138366,-2.009454884,-1.938931116,0.002983177,-0.616851856,-1.219591791,-0.797112362,0.595800439,1.683940089,0.60378475,-0.349597466,-1.179207549,1.112907948,-0.222079921,-0.310109907,2.025610967,-1.902872975,-0.760754414,1.043425121,-2.082863912,0.233014633,-1.243372672,0
0.566573419,0.313998755,0.132044456,-1.281046867,0.191347896,0.92291178,0.109797597,1.494402098,-0.856605713,0.027242806,-0.998847109,-1.191783292,-2.016278477,-2.36260151,-0.680013319,-0.337580607,-0.08804675,-0.090599498,-0.987042578,1.001203082,1.398320784,-0.235463225,-1.505668855,1.464694047,0.216427161,0
1.348421832,0.074866796,1.488153803,-1.656671547,1.395454186,0.834366494,0.843455179,0.494240827,-0.823825391,0.80995724,0.04909225,-1.735669032,-0.896572702,-1.878630425,0.456583321,0.08375298,1.325951448,-0.590069999,-1.215705157,1.687218804,-1.723381118,-0.209347593,-0.029068943,0.918680826,-1.584811203,0
1.774207781,-0.483545059,-1.349967666,0.828244006,-0.859504417,-0.480333555,0.173461797,-2.739132953,-0.620472946,0.364880076,-0.833716463,-0.041638244,-1.121761684,-1.814642733,-0.803669198,1.286109437,1.005647305,0.343400102,-0.900606363,0.528224561,1.254078389,0.402520248,-0.289598333,0.648662774,-0.578903604,0
2.102433174,0.031956502,1.040060976,-1.556005955,-0.274104131,0.660817236,-0.317248562,0.819700053,-1.355044193,0.650880554,-0.402200627,-0.955682579,-1.140972158,-2.104394799,1.122240029,-0.111921937,0.101090628,0.2291903,-1.531797307,1.37146586,-0.008620769,-0.613746814,-0.409327884,0.575343123,0.091343488,0
1.319000081,-0.728582621,0.693720954,0.597623712,-0.923801457,1.303269442,-0.427221604,-0.287063106,-1.173602718,0.81324592,-1.031666832,-1.246177217,-0.763595273,-1.260822062,-0.300463397,-1.180133055,1.202496439,-0.710347384,-0.210083661,-1.227050837,-1.388509671,-0.733162313,0.605627419,0.030434787,-0.202390017,0
2.617628595,-0.31549198,-0.139048602,0.444599047,-0.884128901,-0.137709182,-0.01769594,-1.411846227,-1.057780174,0.964636645,-1.326542155,-1.37369656,-0.262949646,-0.91385537,1.683677036,0.152075083,0.861543699,1.489271587,-0.712070608,-0.385799237,-0.206616728,0.374441299,0.866630477,-1.076396576,0.645938155,0
2.197660616,0.433561217,2.207186576,-0.01658517,-2.351398131,0.358625013,0.151765375,0.407873507,1.55085172,-1.450000852,-0.483653935,0.671450308,-0.110111625,2.63468554,-0.66514496,0.218325027,-0.728005848,-0.032275661,-0.433393662,0.780584583,-1.778167421,-1.367006902,-0.858790687,-1.259620293,-0.306714034,0
1.131452586,-0.981287926,0.821675637,-0.799884704,-1.430960801,0.936966657,-0.911202076,1.72659567,-0.205498844,0.230921127,-0.303347488,-0.300675958,-1.19562655,-1.978316484,1.172244388,0.130279243,0.727041506,0.332587854,0.379761275,0.706411062,0.194664163,-0.415010757,1.172733414,-0.37570402,1.58482473,0
